TEST,REAL,USER,SYSTEM,TOTAL,BLOCKS,BLOCKSIZE,BYTES
unittest-time-control,1.077,0.003,0,0.003,1,4096,4096
unittest-time-control,1.031,0.003,0.001,0.004,2,4096,8192
unittest-time-control,1.279,0.003,0,0.003,4,4096,16384
unittest-time-control,1.117,0.001,0.005,0.006,8,4096,32768
unittest-time-control,1.127,0.005,0.001,0.006,16,4096,65536
unittest-time-control,1.136,0.008,0.001,0.009,32,4096,131072
unittest-time-control,1.102,0.004,0.007,0.011,64,4096,262144
unittest-time-control,1.145,0.008,0.009,0.017,128,4096,524288
unittest-time-control,1.061,0.004,0.02,0.024,256,4096,1048576
unittest-time-control,1.085,0.011,0.027,0.038,512,4096,2097152
unittest-time-control,1.36,0.022,0.038,0.06,1024,4096,4194304
unittest-time-control,1.325,0.012,0.12,0.132,2048,4096,8388608
unittest-time-control,1.573,0.082,0.125,0.207,4096,4096,16777216
unittest-time-control,2.075,0.147,0.275,0.422,8192,4096,33554432
unittest-time-control,2.966,0.293,0.567,0.86,16384,4096,67108864
unittest-time-control,4.812,0.662,1.083,1.745,32768,4096,134217728
unittest-time-control,8.334,1.265,2.633,3.898,65536,4096,268435456
unittest-time-control,15.439,2.418,4.52,6.938,131072,4096,536870912
unittest-time-control,30.321,5.057,8.27,13.327,262144,4096,1073741824
unittest-time-control,61.131,9.941,16.958,26.899,524288,4096,2147483648
unittest-time-control,118.088,19.536,33.851,53.387,1048576,4096,4294967296
