TEST,REAL,USER,SYSTEM,TOTAL,BLOCKS,BLOCKSIZE,BYTES
unittest-time-core,1.907,0.022,0.005,0.027,1,4096,4096
unittest-time-core,1.579,0.025,0,0.025,2,4096,8192
unittest-time-core,1.352,0.018,0.009,0.027,4,4096,16384
unittest-time-core,1.462,0.022,0.009,0.031,8,4096,32768
unittest-time-core,1.42,0.02,0.009,0.029,16,4096,65536
unittest-time-core,1.362,0.022,0.01,0.032,32,4096,131072
unittest-time-core,1.574,0.011,0.02,0.031,64,4096,262144
unittest-time-core,12.647,0.024,0.02,0.044,128,4096,524288
unittest-time-core,1.385,0.026,0.021,0.047,256,4096,1048576
unittest-time-core,1.445,0.028,0.028,0.056,512,4096,2097152
unittest-time-core,1.505,0.054,0.019,0.073,1024,4096,4194304
unittest-time-core,1.532,0.085,0.051,0.136,2048,4096,8388608
unittest-time-core,1.848,0.176,0.115,0.291,4096,4096,16777216
unittest-time-core,2.478,0.205,0.294,0.499,8192,4096,33554432
unittest-time-core,3.444,0.508,0.586,1.094,16384,4096,67108864
unittest-time-core,5.559,1.146,0.984,2.13,32768,4096,134217728
unittest-time-core,7.997,1.096,1.515,2.611,65536,4096,268435456
unittest-time-core,17.273,3.744,4.061,7.805,131072,4096,536870912
unittest-time-core,28.329,4.369,5.909,10.278,262144,4096,1073741824
unittest-time-core,66.411,15.045,16.814,31.859,524288,4096,2147483648
unittest-time-core,144.183,35.31,37.926,73.236,1048576,4096,4294967296
