TEST,REAL,USER,SYSTEM,TOTAL,BLOCKS,BLOCKSIZE,BYTES
unittest-time-core,1.482,0.016,0.009,0.025,1,4096,4096
unittest-time-core,1.617,0.015,0.009,0.024,2,4096,8192
unittest-time-core,1.409,0.023,0.003,0.026,4,4096,16384
unittest-time-core,1.431,0.027,0,0.027,8,4096,32768
unittest-time-core,1.367,0.024,0.004,0.028,16,4096,65536
unittest-time-core,1.467,0.014,0.014,0.028,32,4096,131072
unittest-time-core,1.456,0.022,0.004,0.026,64,4096,262144
unittest-time-core,1.631,0.032,0.017,0.049,128,4096,524288
unittest-time-core,1.405,0.029,0.012,0.041,256,4096,1048576
unittest-time-core,1.523,0.032,0.023,0.055,512,4096,2097152
unittest-time-core,1.389,0.05,0.022,0.072,1024,4096,4194304
unittest-time-core,2.075,0.047,0.073,0.12,2048,4096,8388608
unittest-time-core,1.919,0.136,0.145,0.281,4096,4096,16777216
unittest-time-core,2.521,0.272,0.288,0.56,8192,4096,33554432
unittest-time-core,3.621,0.507,0.692,1.199,16384,4096,67108864
unittest-time-core,5.864,1.042,1.108,2.15,32768,4096,134217728
unittest-time-core,9.795,2.29,2.409,4.699,65536,4096,268435456
unittest-time-core,15.029,2.182,2.833,5.015,131072,4096,536870912
unittest-time-core,36.312,8.74,10,18.74,262144,4096,1073741824
unittest-time-core,71.97,17.749,18.432,36.181,524288,4096,2147483648
unittest-time-core,137.59,34.998,37.587,72.585,1048576,4096,4294967296
